"county_areas","region","date","month","year","quarter","homicide_uns","offences_against_the_person_uns","sexual_offences_uns","burglary_uns","robbery_uns","theft_and_handling_uns","fraud_and_forgery_uns","criminal_damage_uns","drugs_offences_uns","public_order_offences_uns","all_other_offences_uns","motoring_offences_uns","admin_finalised_uns"
"Gwent","Cymru/Wales","2017-08-01","Aug",2017,"Q3_2017",0,18,3,0,0,7,0,6,1,6,1,12,4
"Hampshire","Oxfordshire","2017-08-01","Aug",2017,"Q3_2017",0,50,10,6,0,20,4,10,3,13,2,14,23
"Hertfordshire","Thames and Chiltern","2017-08-01","Aug",2017,"Q3_2017",0,47,3,3,2,8,4,3,2,6,6,29,25
"Humberside","Yorkshire and Humberside","2017-08-01","Aug",2017,"Q3_2017",0,41,6,3,1,11,3,3,11,7,1,14,32
"Kent","South East","2017-08-01","Aug",2017,"Q3_2017",1,75,11,0,0,16,2,6,6,14,3,22,30
"Lancashire","North West","2017-08-01","Aug",2017,"Q3_2017",1,71,3,3,5,12,7,6,3,16,2,56,16
"Leicestershire","East Midlands","2017-08-01","Aug",2017,"Q3_2017",1,36,9,5,0,6,4,6,3,7,1,18,12
"Lincolnshire","East Midlands","2017-08-01","Aug",2017,"Q3_2017",1,30,0,2,0,8,1,4,7,9,0,34,9
"Merseyside","Mersey-Cheshire","2017-08-01","Aug",2017,"Q3_2017",1,59,9,3,0,10,0,3,8,11,3,39,17
"Metropolitan and City","Greater London","2017-08-01","Aug",2017,"Q3_2017",4,626,73,51,30,157,42,51,98,154,23,238,217
"Norfolk","East of England","2017-08-01","Aug",2017,"Q3_2017",0,21,1,1,1,3,2,5,0,9,4,8,12
"Northamptonshire","East Midlands","2017-08-01","Aug",2017,"Q3_2017",0,39,1,1,0,6,1,4,2,2,1,11,11
"Northumbria","North East","2017-08-01","Aug",2017,"Q3_2017",0,77,12,9,5,21,6,4,9,36,4,34,13
"North Wales","Cymru/Wales","2017-08-01","Aug",2017,"Q3_2017",1,27,5,2,3,5,0,1,2,3,1,10,2
"North Yorkshire","Yorkshire and Humberside","2017-08-01","Aug",2017,"Q3_2017",0,42,0,3,0,10,3,4,4,19,2,15,38
"Nottinghamshire","East Midlands","2017-08-01","Aug",2017,"Q3_2017",0,57,9,6,2,7,1,6,11,24,3,13,13
"South Wales","Cymru/Wales","2017-08-01","Aug",2017,"Q3_2017",0,120,6,3,3,18,2,10,8,20,5,71,17
"South Yorkshire","Yorkshire and Humberside","2017-08-01","Aug",2017,"Q3_2017",1,74,2,7,3,29,3,6,2,5,4,27,20
"Staffordshire","West Midlands","2017-08-01","Aug",2017,"Q3_2017",1,47,14,3,0,8,4,5,3,3,1,21,19
"Suffolk","East of England","2017-08-01","Aug",2017,"Q3_2017",0,13,0,2,0,2,1,1,3,0,1,4,3
"Surrey","South East","2017-08-01","Aug",2017,"Q3_2017",0,37,2,2,0,6,2,3,4,7,1,9,8
"Sussex","South East","2017-08-01","Aug",2017,"Q3_2017",0,65,11,1,0,13,2,7,6,10,2,18,11
"Thames Valley","Thames and Chiltern","2017-08-01","Aug",2017,"Q3_2017",1,95,11,7,3,10,3,9,6,12,3,32,31
"Warwickshire","West Midlands","2017-08-01","Aug",2017,"Q3_2017",0,16,6,2,0,8,1,2,2,3,0,21,6
"West Mercia","West Midlands","2017-08-01","Aug",2017,"Q3_2017",0,57,6,4,0,10,1,6,2,15,6,17,10
"West Midlands","West Midlands","2017-08-01","Aug",2017,"Q3_2017",3,171,22,13,10,44,16,12,19,46,9,57,76
"West Yorkshire","Yorkshire and Humberside","2017-08-01","Aug",2017,"Q3_2017",0,103,20,6,2,24,4,10,13,21,5,24,70
"Wiltshire","Oxfordshire","2017-08-01","Aug",2017,"Q3_2017",0,13,1,1,1,4,1,1,2,4,0,3,7
"Avon and Somerset","South West","2017-09-01","Sep",2017,"Q3_2017",0,80,20,5,0,11,2,5,4,10,4,27,36
"Bedfordshire","Thames and Chiltern","2017-09-01","Sep",2017,"Q3_2017",0,24,2,2,0,6,0,3,1,2,0,26,16
"Cambridgeshire","East of England","2017-09-01","Sep",2017,"Q3_2017",1,24,1,2,0,2,0,1,2,4,4,18,23
"Cheshire","Mersey-Cheshire","2017-09-01","Sep",2017,"Q3_2017",0,62,10,1,1,7,0,5,1,11,0,27,15
"Cleveland","North East","2017-09-01","Sep",2017,"Q3_2017",0,33,1,4,1,15,2,9,5,8,1,9,7
"Cumbria","North West","2017-09-01","Sep",2017,"Q3_2017",0,17,1,0,0,4,0,1,0,1,0,8,0
"Derbyshire","East Midlands","2017-09-01","Sep",2017,"Q3_2017",0,29,1,5,0,13,1,5,3,6,3,12,12
"Devon and Cornwall","South West","2017-09-01","Sep",2017,"Q3_2017",0,43,1,3,0,9,4,2,2,7,0,10,9
"Dorset","Oxfordshire","2017-09-01","Sep",2017,"Q3_2017",0,28,1,1,3,3,3,1,0,8,0,14,19
"Durham","North East","2017-09-01","Sep",2017,"Q3_2017",0,24,0,3,2,11,3,7,1,6,1,8,10
"Dyfed Powys","Cymru/Wales","2017-09-01","Sep",2017,"Q3_2017",0,14,2,0,0,2,1,1,1,2,0,9,2
"Essex","East of England","2017-09-01","Sep",2017,"Q3_2017",0,63,9,3,4,9,4,5,1,3,1,59,21
"Gloucestershire","South West","2017-09-01","Sep",2017,"Q3_2017",0,13,2,1,0,3,1,1,0,4,2,3,11
"GreaterManchester","North West","2017-09-01","Sep",2017,"Q3_2017",1,109,34,0,1,8,5,12,11,28,3,36,42
"Gwent","Cymru/Wales","2017-09-01","Sep",2017,"Q3_2017",0,20,3,4,6,7,0,5,0,6,1,16,10
"Hampshire","Oxfordshire","2017-09-01","Sep",2017,"Q3_2017",0,73,8,4,1,7,0,5,0,8,0,22,24
"Hertfordshire","Thames and Chiltern","2017-09-01","Sep",2017,"Q3_2017",0,45,0,1,0,6,5,3,1,6,3,26,10
"Humberside","Yorkshire and Humberside","2017-09-01","Sep",2017,"Q3_2017",0,27,2,2,2,12,2,5,7,4,1,14,20
"Kent","South East","2017-09-01","Sep",2017,"Q3_2017",0,77,4,4,5,13,5,9,3,10,3,20,40
"Lancashire","North West","2017-09-01","Sep",2017,"Q3_2017",0,80,1,2,1,18,7,5,2,11,1,42,12
"Leicestershire","East Midlands","2017-09-01","Sep",2017,"Q3_2017",0,27,12,5,1,6,1,4,4,6,1,35,15
"Lincolnshire","East Midlands","2017-09-01","Sep",2017,"Q3_2017",0,28,0,5,2,11,3,0,2,10,6,36,8
"Merseyside","Mersey-Cheshire","2017-09-01","Sep",2017,"Q3_2017",0,68,10,0,0,10,5,6,9,6,7,32,19
"Metropolitan and City","Greater London","2017-09-01","Sep",2017,"Q3_2017",1,638,60,55,22,143,31,47,86,134,35,323,214
"Norfolk","East of England","2017-09-01","Sep",2017,"Q3_2017",0,35,2,1,0,7,1,4,1,6,1,11,10
"Northamptonshire","East Midlands","2017-09-01","Sep",2017,"Q3_2017",0,23,1,3,0,5,0,0,2,4,0,11,16
"Northumbria","North East","2017-09-01","Sep",2017,"Q3_2017",0,80,23,7,1,18,5,9,12,24,1,33,11
"North Wales","Cymru/Wales","2017-09-01","Sep",2017,"Q3_2017",1,38,3,1,0,8,0,2,2,5,0,13,5
"North Yorkshire","Yorkshire and Humberside","2017-09-01","Sep",2017,"Q3_2017",0,13,3,1,0,5,3,3,3,7,4,11,14
"Nottinghamshire","East Midlands","2017-09-01","Sep",2017,"Q3_2017",0,66,8,4,2,13,1,6,10,9,2,18,25
"South Wales","Cymru/Wales","2017-09-01","Sep",2017,"Q3_2017",0,131,12,8,0,21,4,7,5,39,2,77,11
"South Yorkshire","Yorkshire and Humberside","2017-09-01","Sep",2017,"Q3_2017",1,70,2,6,0,27,4,8,5,9,2,19,57
"Staffordshire","West Midlands","2017-09-01","Sep",2017,"Q3_2017",0,59,9,4,0,12,3,6,2,12,3,27,24
"Suffolk","East of England","2017-09-01","Sep",2017,"Q3_2017",0,15,2,0,1,2,1,3,2,2,0,4,8
"Surrey","South East","2017-09-01","Sep",2017,"Q3_2017",0,34,7,1,0,6,2,3,0,2,0,11,7
"Sussex","South East","2017-09-01","Sep",2017,"Q3_2017",0,67,11,0,4,5,3,4,4,12,0,28,11
"Thames Valley","Thames and Chiltern","2017-09-01","Sep",2017,"Q3_2017",1,103,15,2,3,22,5,9,7,10,1,40,30
"Warwickshire","West Midlands","2017-09-01","Sep",2017,"Q3_2017",0,16,4,1,0,9,1,4,2,4,0,21,11
"West Mercia","West Midlands","2017-09-01","Sep",2017,"Q3_2017",0,60,9,5,2,8,4,5,2,6,2,27,12
"West Midlands","West Midlands","2017-09-01","Sep",2017,"Q3_2017",1,172,23,13,9,26,11,16,13,38,15,68,92
"West Yorkshire","Yorkshire and Humberside","2017-09-01","Sep",2017,"Q3_2017",2,73,33,5,1,15,6,13,5,15,8,21,51
"Wiltshire","Oxfordshire","2017-09-01","Sep",2017,"Q3_2017",0,13,0,1,0,1,0,1,0,3,1,2,4
"Avon and Somerset","South West","2017-10-01","Oct",2017,"Q4_2017",0,59,23,4,1,12,3,8,5,11,1,28,35
"Bedfordshire","Thames and Chiltern","2017-10-01","Oct",2017,"Q4_2017",0,42,0,1,3,15,2,2,1,12,1,23,19
"Cambridgeshire","East of England","2017-10-01","Oct",2017,"Q4_2017",1,33,1,2,5,2,1,4,2,6,1,14,7
"Cheshire","Mersey-Cheshire","2017-10-01","Oct",2017,"Q4_2017",0,46,12,3,0,5,5,4,2,4,2,29,12
"Cleveland","North East","2017-10-01","Oct",2017,"Q4_2017",0,42,1,7,5,7,2,3,4,12,0,7,10
"Cumbria","North West","2017-10-01","Oct",2017,"Q4_2017",0,12,0,2,0,0,0,3,0,2,2,10,1
"Derbyshire","East Midlands","2017-10-01","Oct",2017,"Q4_2017",0,64,1,4,0,14,2,6,3,8,2,24,9
"Devon and Cornwall","South West","2017-10-01","Oct",2017,"Q4_2017",1,37,0,0,0,10,0,3,3,11,4,28,7
"Dorset","Oxfordshire","2017-10-01","Oct",2017,"Q4_2017",0,19,2,2,1,4,2,5,3,2,0,13,11
"Durham","North East","2017-10-01","Oct",2017,"Q4_2017",1,20,1,3,2,7,1,6,4,13,0,5,8
"Dyfed Powys","Cymru/Wales","2017-10-01","Oct",2017,"Q4_2017",0,18,2,0,1,4,2,2,2,0,0,6,1
"Essex","East of England","2017-10-01","Oct",2017,"Q4_2017",0,60,20,1,2,11,4,6,7,8,3,38,21
"Gloucestershire","South West","2017-10-01","Oct",2017,"Q4_2017",0,23,0,4,0,3,0,3,4,2,0,7,11
"GreaterManchester","North West","2017-10-01","Oct",2017,"Q4_2017",0,131,30,4,2,15,7,12,2,10,7,47,37
"Gwent","Cymru/Wales","2017-10-01","Oct",2017,"Q4_2017",2,16,4,3,0,6,0,5,6,8,0,14,1
"Hampshire","Oxfordshire","2017-10-01","Oct",2017,"Q4_2017",0,68,4,4,0,11,7,4,1,17,4,16,30
"Hertfordshire","Thames and Chiltern","2017-10-01","Oct",2017,"Q4_2017",0,30,1,4,2,12,0,2,4,6,0,19,16
"Humberside","Yorkshire and Humberside","2017-10-01","Oct",2017,"Q4_2017",0,28,5,2,0,12,2,3,3,2,1,13,9
"Kent","South East","2017-10-01","Oct",2017,"Q4_2017",1,67,7,2,1,21,0,7,1,6,4,22,51
"Lancashire","North West","2017-10-01","Oct",2017,"Q4_2017",0,76,1,6,3,10,1,7,1,13,0,45,9
"Leicestershire","East Midlands","2017-10-01","Oct",2017,"Q4_2017",0,41,11,2,1,11,1,3,2,9,2,31,4
"Lincolnshire","East Midlands","2017-10-01","Oct",2017,"Q4_2017",0,18,0,2,1,13,1,5,0,7,1,26,11
"Merseyside","Mersey-Cheshire","2017-10-01","Oct",2017,"Q4_2017",0,60,5,2,2,4,1,6,11,10,2,57,17
"Metropolitan and City","Greater London","2017-10-01","Oct",2017,"Q4_2017",8,578,91,42,33,138,37,40,79,122,39,349,229
"Norfolk","East of England","2017-10-01","Oct",2017,"Q4_2017",0,23,1,0,1,4,0,2,1,7,1,9,9
"Northamptonshire","East Midlands","2017-10-01","Oct",2017,"Q4_2017",1,18,0,1,1,5,0,1,3,2,0,11,15
"Northumbria","North East","2017-10-01","Oct",2017,"Q4_2017",0,114,16,6,0,16,11,12,6,35,5,37,18
"North Wales","Cymru/Wales","2017-10-01","Oct",2017,"Q4_2017",0,31,3,5,1,2,0,3,0,5,0,8,11
"North Yorkshire","Yorkshire and Humberside","2017-10-01","Oct",2017,"Q4_2017",2,22,1,0,0,5,1,1,2,5,5,13,6
"Nottinghamshire","East Midlands","2017-10-01","Oct",2017,"Q4_2017",1,54,13,3,4,17,1,6,9,14,5,11,22
"South Wales","Cymru/Wales","2017-10-01","Oct",2017,"Q4_2017",0,121,10,6,4,10,1,7,5,22,1,22,14
"South Yorkshire","Yorkshire and Humberside","2017-10-01","Oct",2017,"Q4_2017",1,78,4,3,1,12,0,12,4,11,2,23,23
"Staffordshire","West Midlands","2017-10-01","Oct",2017,"Q4_2017",0,37,6,0,3,7,1,10,2,8,3,24,19
"Suffolk","East of England","2017-10-01","Oct",2017,"Q4_2017",0,24,1,0,0,3,2,1,2,1,0,10,4
"Surrey","South East","2017-10-01","Oct",2017,"Q4_2017",0,48,5,1,0,4,2,3,1,3,2,9,26
"Sussex","South East","2017-10-01","Oct",2017,"Q4_2017",0,63,16,4,1,12,3,4,3,1,0,27,19
"Thames Valley","Thames and Chiltern","2017-10-01","Oct",2017,"Q4_2017",2,63,11,7,7,17,3,11,5,12,3,47,20
"Warwickshire","West Midlands","2017-10-01","Oct",2017,"Q4_2017",0,12,2,1,0,5,0,1,2,2,2,12,16
"West Mercia","West Midlands","2017-10-01","Oct",2017,"Q4_2017",0,59,10,1,1,8,3,2,1,7,0,18,15
"West Midlands","West Midlands","2017-10-01","Oct",2017,"Q4_2017",1,144,26,4,9,33,11,20,17,38,5,36,66
"West Yorkshire","Yorkshire and Humberside","2017-10-01","Oct",2017,"Q4_2017",0,71,21,8,7,10,7,8,3,11,1,10,27
"Wiltshire","Oxfordshire","2017-10-01","Oct",2017,"Q4_2017",0,11,2,0,0,9,2,2,0,2,1,6,6
"Avon and Somerset","South West","2017-11-01","Nov",2017,"Q4_2017",1,75,11,2,2,8,7,15,6,13,2,15,34
"Bedfordshire","Thames and Chiltern","2017-11-01","Nov",2017,"Q4_2017",0,29,0,1,0,10,2,5,3,9,1,32,17
"Cambridgeshire","East of England","2017-11-01","Nov",2017,"Q4_2017",0,26,1,0,2,6,0,4,0,4,0,5,5
"Cheshire","Mersey-Cheshire","2017-11-01","Nov",2017,"Q4_2017",0,67,7,2,2,11,4,3,3,9,3,42,8
"Cleveland","North East","2017-11-01","Nov",2017,"Q4_2017",0,30,0,4,0,7,2,9,3,8,1,10,7
"Cumbria","North West","2017-11-01","Nov",2017,"Q4_2017",0,16,1,3,0,2,1,3,1,1,1,7,2
"Derbyshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,45,0,3,1,14,1,7,1,4,0,23,15
"Devon and Cornwall","South West","2017-11-01","Nov",2017,"Q4_2017",1,31,2,2,1,5,1,4,0,5,1,22,12
"Dorset","Oxfordshire","2017-11-01","Nov",2017,"Q4_2017",1,19,6,1,1,5,1,2,1,5,2,16,13
"Durham","North East","2017-11-01","Nov",2017,"Q4_2017",0,21,1,6,0,5,0,6,0,6,1,6,5
"Dyfed Powys","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,19,3,1,0,2,0,3,1,5,1,10,9
"Essex","East of England","2017-11-01","Nov",2017,"Q4_2017",2,77,20,4,0,7,6,6,2,5,3,58,22
"Gloucestershire","South West","2017-11-01","Nov",2017,"Q4_2017",0,19,0,1,1,4,1,4,2,1,1,3,8
"GreaterManchester","North West","2017-11-01","Nov",2017,"Q4_2017",1,131,27,2,1,13,3,8,7,12,5,63,31
"Gwent","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,27,3,3,0,10,1,8,2,5,1,14,1
"Hampshire","Oxfordshire","2017-11-01","Nov",2017,"Q4_2017",0,62,3,2,0,13,2,2,6,11,3,20,17
"Hertfordshire","Thames and Chiltern","2017-11-01","Nov",2017,"Q4_2017",1,47,1,5,5,5,2,3,6,8,2,26,18
"Humberside","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",0,36,4,0,1,7,2,9,2,5,1,16,14
"Kent","South East","2017-11-01","Nov",2017,"Q4_2017",7,68,6,2,0,12,5,14,5,22,4,14,32
"Lancashire","North West","2017-11-01","Nov",2017,"Q4_2017",0,79,2,8,4,11,0,11,7,17,0,57,18
"Leicestershire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,44,12,1,0,6,0,9,5,7,1,26,22
"Lincolnshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,24,1,1,3,10,2,2,3,5,4,49,7
"Merseyside","Mersey-Cheshire","2017-11-01","Nov",2017,"Q4_2017",1,88,4,4,1,12,2,9,13,15,6,51,21
"Metropolitan and City","Greater London","2017-11-01","Nov",2017,"Q4_2017",11,641,74,39,23,138,36,49,83,141,25,312,240
"Norfolk","East of England","2017-11-01","Nov",2017,"Q4_2017",0,27,1,2,0,4,1,6,2,9,2,8,6
"Northamptonshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,30,0,2,2,7,3,2,1,0,1,12,18
"Northumbria","North East","2017-11-01","Nov",2017,"Q4_2017",2,104,25,13,0,22,4,10,8,30,6,34,15
"North Wales","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,25,5,0,0,2,3,3,0,4,0,14,10
"North Yorkshire","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",1,29,2,2,1,8,0,10,3,5,0,13,8
"Nottinghamshire","East Midlands","2017-11-01","Nov",2017,"Q4_2017",0,59,14,4,2,10,3,5,11,10,4,10,18
"South Wales","Cymru/Wales","2017-11-01","Nov",2017,"Q4_2017",0,100,5,5,3,18,2,6,7,10,5,23,11
"South Yorkshire","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",0,58,1,5,1,13,3,12,2,7,0,13,29
"Staffordshire","West Midlands","2017-11-01","Nov",2017,"Q4_2017",0,63,2,3,2,11,1,7,3,5,0,22,15
"Suffolk","East of England","2017-11-01","Nov",2017,"Q4_2017",0,18,1,0,0,1,0,1,4,3,2,10,4
"Surrey","South East","2017-11-01","Nov",2017,"Q4_2017",0,31,4,1,0,2,7,1,2,2,0,20,15
"Sussex","South East","2017-11-01","Nov",2017,"Q4_2017",0,65,10,2,2,10,6,7,8,8,1,20,28
"Thames Valley","Thames and Chiltern","2017-11-01","Nov",2017,"Q4_2017",0,82,16,6,5,19,9,7,8,22,2,44,12
"Warwickshire","West Midlands","2017-11-01","Nov",2017,"Q4_2017",0,23,4,1,0,0,0,0,0,3,0,11,9
"West Mercia","West Midlands","2017-11-01","Nov",2017,"Q4_2017",1,50,8,3,3,9,1,5,4,6,2,30,18
"West Midlands","West Midlands","2017-11-01","Nov",2017,"Q4_2017",0,143,15,8,5,36,9,14,16,48,4,32,48
"West Yorkshire","Yorkshire and Humberside","2017-11-01","Nov",2017,"Q4_2017",2,152,29,3,1,15,4,12,10,16,11,32,24
"Wiltshire","Oxfordshire","2017-11-01","Nov",2017,"Q4_2017",0,19,2,2,0,4,1,3,0,5,2,6,7
"Avon and Somerset","South West","2017-12-01","Dec",2017,"Q4_2017",0,39,12,5,1,7,0,3,3,13,3,8,36
"Bedfordshire","Thames and Chiltern","2017-12-01","Dec",2017,"Q4_2017",0,25,0,2,0,8,1,4,0,2,1,13,14
"Cambridgeshire","East of England","2017-12-01","Dec",2017,"Q4_2017",0,26,2,3,2,3,1,2,3,3,2,3,17
"Cheshire","Mersey-Cheshire","2017-12-01","Dec",2017,"Q4_2017",1,50,7,3,0,10,1,3,5,13,0,34,18
"Cleveland","North East","2017-12-01","Dec",2017,"Q4_2017",0,32,1,4,0,11,1,0,2,5,0,12,5
"Cumbria","North West","2017-12-01","Dec",2017,"Q4_2017",0,15,0,0,1,3,2,3,0,3,0,7,1
"Derbyshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",0,28,1,0,0,14,0,7,2,10,15,17,8
"Devon and Cornwall","South West","2017-12-01","Dec",2017,"Q4_2017",0,29,0,0,2,4,1,2,5,9,0,22,10
"Dorset","Oxfordshire","2017-12-01","Dec",2017,"Q4_2017",0,11,3,1,0,3,0,4,1,9,2,8,22
"Durham","North East","2017-12-01","Dec",2017,"Q4_2017",0,21,0,3,0,10,0,3,0,1,0,3,4
"Dyfed Powys","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,10,1,1,0,5,0,0,0,3,1,4,5
"Essex","East of England","2017-12-01","Dec",2017,"Q4_2017",0,50,10,1,0,4,5,7,6,7,2,43,23
"Gloucestershire","South West","2017-12-01","Dec",2017,"Q4_2017",0,6,0,0,0,1,2,0,0,0,1,5,5
"GreaterManchester","North West","2017-12-01","Dec",2017,"Q4_2017",1,72,17,0,4,7,4,3,4,15,3,18,26
"Gwent","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,15,2,1,2,1,1,6,2,0,2,7,5
"Hampshire","Oxfordshire","2017-12-01","Dec",2017,"Q4_2017",0,46,7,4,1,12,1,8,7,4,0,23,20
"Hertfordshire","Thames and Chiltern","2017-12-01","Dec",2017,"Q4_2017",1,29,1,0,0,13,1,8,6,5,2,26,16
"Humberside","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",1,33,3,3,4,6,2,10,1,2,3,10,17
"Kent","South East","2017-12-01","Dec",2017,"Q4_2017",0,75,5,5,1,14,4,5,10,10,1,16,42
"Lancashire","North West","2017-12-01","Dec",2017,"Q4_2017",1,66,1,2,1,11,5,7,2,16,0,42,25
"Leicestershire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",2,42,9,2,0,5,3,4,2,5,2,17,17
"Lincolnshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",0,19,0,0,0,7,0,3,0,6,0,23,11
"Merseyside","Mersey-Cheshire","2017-12-01","Dec",2017,"Q4_2017",0,78,7,0,0,9,1,16,8,15,2,33,15
"Metropolitan and City","Greater London","2017-12-01","Dec",2017,"Q4_2017",8,433,60,21,22,76,31,44,68,87,24,241,213
"Norfolk","East of England","2017-12-01","Dec",2017,"Q4_2017",0,22,1,3,1,6,1,4,3,5,0,6,13
"Northamptonshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",1,19,0,2,1,6,2,3,2,1,3,14,11
"Northumbria","North East","2017-12-01","Dec",2017,"Q4_2017",0,77,17,3,4,20,4,10,4,16,3,24,16
"North Wales","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,26,5,0,1,3,0,2,1,3,2,13,8
"North Yorkshire","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",0,26,0,2,1,8,0,3,0,6,5,6,14
"Nottinghamshire","East Midlands","2017-12-01","Dec",2017,"Q4_2017",0,55,15,3,2,5,5,4,14,5,4,9,27
"South Wales","Cymru/Wales","2017-12-01","Dec",2017,"Q4_2017",0,79,6,2,3,16,4,7,8,7,0,27,11
"South Yorkshire","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",0,52,2,9,6,8,1,5,5,10,0,26,16
"Staffordshire","West Midlands","2017-12-01","Dec",2017,"Q4_2017",0,44,6,2,2,10,3,8,6,3,1,14,18
"Suffolk","East of England","2017-12-01","Dec",2017,"Q4_2017",0,11,1,0,0,5,1,0,1,3,0,6,7
"Surrey","South East","2017-12-01","Dec",2017,"Q4_2017",0,22,3,2,0,5,1,2,1,3,1,8,16
"Sussex","South East","2017-12-01","Dec",2017,"Q4_2017",0,42,10,1,1,4,3,5,2,6,1,17,11
"Thames Valley","Thames and Chiltern","2017-12-01","Dec",2017,"Q4_2017",1,70,20,4,1,14,4,10,6,12,1,24,21
"Warwickshire","West Midlands","2017-12-01","Dec",2017,"Q4_2017",1,14,5,0,1,4,0,0,0,4,2,10,7
"West Mercia","West Midlands","2017-12-01","Dec",2017,"Q4_2017",1,36,4,4,3,5,0,3,0,3,1,17,10
"West Midlands","West Midlands","2017-12-01","Dec",2017,"Q4_2017",0,131,24,7,8,35,4,17,10,23,12,31,69
"West Yorkshire","Yorkshire and Humberside","2017-12-01","Dec",2017,"Q4_2017",0,81,19,2,3,26,5,14,8,18,3,42,39
"Wiltshire","Oxfordshire","2017-12-01","Dec",2017,"Q4_2017",1,13,2,0,0,1,0,3,1,2,0,4,5
"Avon and Somerset","South West","2018-01-01","Jan",2018,"Q1_2018",1,60,11,6,4,14,0,7,8,12,0,28,24
"Bedfordshire","Thames and Chiltern","2018-01-01","Jan",2018,"Q1_2018",1,31,1,1,1,5,2,2,1,4,1,28,15
"Cambridgeshire","East of England","2018-01-01","Jan",2018,"Q1_2018",0,41,0,3,0,7,2,3,0,8,5,17,13
"Cheshire","Mersey-Cheshire","2018-01-01","Jan",2018,"Q1_2018",0,50,5,0,0,11,3,5,4,5,0,31,10
"Cleveland","North East","2018-01-01","Jan",2018,"Q1_2018",0,27,1,7,3,8,0,4,6,11,0,6,5
"Cumbria","North West","2018-01-01","Jan",2018,"Q1_2018",0,13,0,2,0,6,0,2,0,2,0,9,6
"Derbyshire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,67,3,5,1,21,1,11,3,15,2,15,16
"Devon and Cornwall","South West","2018-01-01","Jan",2018,"Q1_2018",0,27,0,0,1,6,2,3,1,6,0,21,11
"Dorset","Oxfordshire","2018-01-01","Jan",2018,"Q1_2018",0,25,3,3,0,3,0,3,2,10,0,10,17
"Durham","North East","2018-01-01","Jan",2018,"Q1_2018",0,22,0,4,1,10,2,7,1,5,2,3,6
"Dyfed Powys","Cymru/Wales","2018-01-01","Jan",2018,"Q1_2018",0,13,3,0,0,1,0,2,3,4,0,11,3
"Essex","East of England","2018-01-01","Jan",2018,"Q1_2018",0,73,11,0,4,11,4,6,7,12,2,55,35
"Gloucestershire","South West","2018-01-01","Jan",2018,"Q1_2018",0,14,0,2,0,6,1,0,1,4,0,5,5
"GreaterManchester","North West","2018-01-01","Jan",2018,"Q1_2018",2,70,24,9,1,7,3,7,6,19,2,53,23
"Gwent","Cymru/Wales","2018-01-01","Jan",2018,"Q1_2018",0,22,4,6,0,5,0,4,3,5,0,12,7
"Hampshire","Oxfordshire","2018-01-01","Jan",2018,"Q1_2018",1,70,6,3,1,12,7,10,5,7,5,27,21
"Hertfordshire","Thames and Chiltern","2018-01-01","Jan",2018,"Q1_2018",0,41,1,4,3,11,3,5,2,8,0,22,17
"Humberside","Yorkshire and Humberside","2018-01-01","Jan",2018,"Q1_2018",0,34,0,4,1,11,0,3,1,7,1,10,10
"Kent","South East","2018-01-01","Jan",2018,"Q1_2018",3,75,5,7,2,16,6,12,5,12,2,24,22
"Lancashire","North West","2018-01-01","Jan",2018,"Q1_2018",2,71,1,8,5,23,4,5,6,18,1,39,11
"Leicestershire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,45,12,1,0,11,1,6,1,4,2,28,15
"Lincolnshire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,23,1,4,2,5,0,2,2,9,5,37,19
"Merseyside","Mersey-Cheshire","2018-01-01","Jan",2018,"Q1_2018",0,65,11,2,2,8,3,5,12,8,3,31,17
"Metropolitan and City","Greater London","2018-01-01","Jan",2018,"Q1_2018",11,596,70,34,18,158,44,59,86,152,25,304,209
"Norfolk","East of England","2018-01-01","Jan",2018,"Q1_2018",0,33,3,1,0,5,0,4,4,7,3,15,2
"Northamptonshire","East Midlands","2018-01-01","Jan",2018,"Q1_2018",0,31,0,2,0,2,1,2,1,4,0,10,29
